    INFO: 2025-05-29 14:08:13,615:               log.py:   20: Logging to /Users/harshitapradhan/Desktop/OND intern/mdpdf.log
   DEBUG: 2025-05-29 14:08:13,615:               cli.py:  103: submission_details.md
    INFO: 2025-05-29 14:08:13,616:         converter.py:   14: submission_details.md
   DEBUG: 2025-05-29 14:08:13,620:      pdf_renderer.py:  470: printSegment: Weather Dashboard Project Submission
   DEBUG: 2025-05-29 14:08:13,621:      pdf_renderer.py:  470: printSegment: Project Overview
   DEBUG: 2025-05-29 14:08:13,630:      pdf_renderer.py:  470: printSegment: This submission includes a comprehensive weather monitoring dashboard that provides real-time weather data
   DEBUG: 2025-05-29 14:08:13,634:      pdf_renderer.py:  470: printSegment: visualization and analysis. The project demonstrates the implementation of a modern web application using Python
   DEBUG: 2025-05-29 14:08:13,635:      pdf_renderer.py:  470: printSegment: and various data visualization libraries.
   DEBUG: 2025-05-29 14:08:13,636:      pdf_renderer.py:  470: printSegment: Submission Contents
   DEBUG: 2025-05-29 14:08:13,636:      pdf_renderer.py:  470: printSegment: Core Files
   DEBUG: 2025-05-29 14:08:13,636:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2025-05-29 14:08:13,639:      pdf_renderer.py:  470: printSegment: weather_report.py
   DEBUG: 2025-05-29 14:08:13,640:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,641:      pdf_renderer.py:  470: printSegment: Main weather data fetching module
   DEBUG: 2025-05-29 14:08:13,642:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,643:      pdf_renderer.py:  470: printSegment: OpenWeatherMap API integration
   DEBUG: 2025-05-29 14:08:13,643:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,644:      pdf_renderer.py:  470: printSegment: Core data processing functions
   DEBUG: 2025-05-29 14:08:13,644:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2025-05-29 14:08:13,644:      pdf_renderer.py:  470: printSegment: streamlit_app.py
   DEBUG: 2025-05-29 14:08:13,645:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,645:      pdf_renderer.py:  470: printSegment: Interactive dashboard implementation
   DEBUG: 2025-05-29 14:08:13,645:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,646:      pdf_renderer.py:  470: printSegment: Real-time data visualization
   DEBUG: 2025-05-29 14:08:13,646:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,647:      pdf_renderer.py:  470: printSegment: User interface components
   DEBUG: 2025-05-29 14:08:13,647:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2025-05-29 14:08:13,648:      pdf_renderer.py:  470: printSegment: requirements.txt
   DEBUG: 2025-05-29 14:08:13,649:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,649:      pdf_renderer.py:  470: printSegment: Complete list of project dependencies
   DEBUG: 2025-05-29 14:08:13,650:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,650:      pdf_renderer.py:  470: printSegment: Specific version requirements
   DEBUG: 2025-05-29 14:08:13,651:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,651:      pdf_renderer.py:  470: printSegment: Easy installation support
   DEBUG: 2025-05-29 14:08:13,652:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2025-05-29 14:08:13,652:      pdf_renderer.py:  470: printSegment: README.md
   DEBUG: 2025-05-29 14:08:13,653:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,653:      pdf_renderer.py:  470: printSegment: Detailed project documentation
   DEBUG: 2025-05-29 14:08:13,654:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,654:      pdf_renderer.py:  470: printSegment: Setup and running instructions
   DEBUG: 2025-05-29 14:08:13,655:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,655:      pdf_renderer.py:  470: printSegment: Technical approach explanation
   DEBUG: 2025-05-29 14:08:13,656:      pdf_renderer.py:  470: printSegment: Supporting Files
   DEBUG: 2025-05-29 14:08:13,656:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2025-05-29 14:08:13,656:      pdf_renderer.py:  470: printSegment: cities.txt
   DEBUG: 2025-05-29 14:08:13,657:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,657:      pdf_renderer.py:  470: printSegment: List of monitored cities
   DEBUG: 2025-05-29 14:08:13,658:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,658:      pdf_renderer.py:  470: printSegment: Easily modifiable through the UI
   DEBUG: 2025-05-29 14:08:13,659:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2025-05-29 14:08:13,659:      pdf_renderer.py:  470: printSegment: Generated Files
   DEBUG: 2025-05-29 14:08:13,659:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,660:      pdf_renderer.py:  470: printSegment: summary_report.txt
   DEBUG: 2025-05-29 14:08:13,660:      pdf_renderer.py:  470: printSegment: : Detailed weather analysis
   DEBUG: 2025-05-29 14:08:13,661:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-05-29 14:08:13,661:      pdf_renderer.py:  470: printSegment: Weather visualization plots
   DEBUG: 2025-05-29 14:08:13,662:      pdf_renderer.py:  470: printSegment: Technical Implementation
   DEBUG: 2025-05-29 14:08:13,662:      pdf_renderer.py:  470: printSegment: Approach
   DEBUG: 2025-05-29 14:08:13,663:      pdf_renderer.py:  470: printSegment:  1 
